order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
f4ee4273538924bda6212f5948e80fde,1,69455f41626a745aea9ee9164cb9eafd,7d13fca15225358621be4086e1eb0964,2018-06-19 09:18:15,180.0,20.45
056349f85a73d794119c4286c95a52de,1,af35be35db4ad0dc288b571453337376,d20b021d3efdf267a402c402a48ea64b,2017-03-09 14:35:09,10.99,16.05
b124967afcc82ef17ec41020fe2a9136,1,12e6d0f655986ceff00c74658dec97b1,3be634553519fb6536a03e1358e9fdc7,2018-06-06 17:18:09,49.99,8.88
e257ae8610fb4fb68a1f459c3a4b1f51,1,a50acd33ba7a8da8e9db65094fa990a4,8581055ce74af1daba164fdbd55a40de,2017-05-18 08:02:19,117.3,14.43
5e114d8e3840661abc3d9c4820f427b3,1,5cca3efb9521cc1d7099d610d4a12017,3d871de0142ce09b7081e2b9d1733cb1,2018-05-03 18:15:09,58.9,13.77
fd220bb11ef8a046fef08e7c51f11651,1,7501e40e8bc7a7db7c2f4b005e1dddcb,974cf2cb8f4b7add98709c30df02fe10,2018-02-08 19:28:55,79.99,17.81
2b7d922e73fbd058099b6ff4b33e99f7,1,228f57b1acb5bdce9401c58653c8cc14,7e93a43ef30c4f03f38b393420bc753a,2017-10-06 18:14:22,169.99,17.76
e897baf305827e390802ae23c1109c78,2,e4ca5b20cfe1a020e15e36fe14e880ee,128639473a139ac0f3e5f5ade55873a5,2018-01-05 15:09:19,19.9,15.1
4be3435a18d709c7bec9b8d5651088b4,1,f4f4debbcfcafe6858d1e37a1f6e436e,7c67e1448b00f6e969d365cea6b010ab,2017-10-23 14:05:02,159.94,41.11
709df04791b8bd393b34a58de3cf142d,1,d322eb25f02924adba73e58dbc36b29c,4869f7a5dfa277a7dca6462dcf3b52b2,2018-06-14 10:55:21,223.0,19.44
a8385b0ed2ef8109ce800b799f53fb7c,1,c741b4e884aadcb383abe964529d76ce,093805f8f2aeb63881444571e1f48f30,2018-01-15 07:22:49,29.9,8.72
c8682e224367b603f0ac144e77fabe14,1,d04857e7b4b708ee8b8b9921163edba3,9f505651f4a6abe901a56cdc21508025,2018-06-13 11:15:40,67.99,8.88
166b01d0fce75a595b92ad9e84e0843b,1,776ef0ee36e20757c513e64903f1fa8a,70a12e78e608ac31179aea7f8422044b,2017-09-15 11:45:12,98.0,29.09
e1e0cfc8398a7bcd9699fe42c1651566,1,64d33e6bd1b905a31c2f96f584e6a0c8,ea8482cd71df3c1969d7b9473ff13abc,2018-03-08 12:30:56,29.99,7.78
039ff75de38e514eaa8ffb2618d5227e,1,5b59b0c94f8e31d14fe89dbbfda3df6c,dd2bdf855a9172734fbc3744021ae9b9,2018-01-16 08:57:24,69.9,14.22
72e5f9d054298a6554b1d7e7e4115c5a,1,8fa15c06c596b8e4c43a9ff94ed8b410,17ca9b9e9b9ef8fdb529001b49ebb50f,2018-05-10 01:30:26,89.97,15.51
9b95b783cb4d875bbdaec597fcfc0f74,1,ec16be6dfd2b67c4f576d7c7ccda1358,f9244d45189d3a3605499abddeade7d5,2018-04-04 22:08:04,99.99,27.46
2c3bfbf5ecf75f13c01dd54f87ebbc36,1,fb6782985a98aa8a59238f58239f6f1e,955fee9216a65b617aa5c0531780ce60,2017-07-31 06:43:10,79.99,16.81
525649cfb87baa1b132df49d8297901a,1,017692475c1c954ff597feda05131d73,3c7c4a49ec3c6550809089c6a2ca9370,2018-03-04 23:10:24,13.99,14.1
c3aa0764f72af0672f23966336a8fd0c,1,e59dd207c69d86e890febadc796d1078,e9bc59e7b60fc3063eb2290deda4cced,2018-08-13 01:10:08,125.0,14.22
